2010,Jerusalem_no2,Jerusalem_pm25,beer_sheva_no2,beer_sheva_pm25,holon_no2,holon_pm25,tlv_no2,tlv_pm25,gedera_no2,gedera_pm25,shderot_no2,shderot_pm25,haifa_no2,haifa_pm25
Date,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
40180,45.1,16.5,17.7,NoData,33.4,11.5,56.2,18.5,12.9,13.6,13.9,16.2,30.8,10.3
40181,31.9,9.1,17.1,NoData,36.7,16.9,56.6,18.1,14.5,10.6,12.7,11.4,34.9,12.9
40182,45.7,20.8,29.3,NoData,37.4,12.5,74.3,16.7,24.3,16.8,24.8,18.1,32,16.6
40183,45.8,14.9,24.9,NoData,32.7,9.6,66.2,15.9,22.4,15.6,23.1,15.2,30.8,9.6
40184,59,15.7,21.9,NoData,41.8,6.5,63.4,16.5,23.9,12.3,19.5,11.1,42.8,8.2
40185,73.9,18.7,31.6,NoData,63,15.9,73.2,21.4,40.3,15.5,41.1,16.4,40.9,13.2
40186,82.9,23.4,23.1,NoData,76.5,33.5,94.2,33.2,46.2,19.2,42.9,23.5,29.6,16.6
40187,79,23.1,24.4,NoData,64.4,28.3,88.1,35.4,30.3,17.9,31.2,21,32.5,17.7
40188,75.5,18.3,16.9,NoData,48.5,31.7,57.7,38,21.7,25.2,25.5,29.5,21.7,15
40189,96.6,28.9,21.6,NoData,91.2,44.7,106.1,41.1,38.3,22.6,34.6,30.2,30.9,11.9
40190,79.5,30.5,31.2,NoData,52.6,31.2,94.7,26.3,35.5,15.8,36.4,35,58.9,16.1
40191,74.1,37.3,29,NoData,55.4,17.4,75.4,23.1,36.4,27.6,29.2,26.2,55.1,10.3
40192,53.8,21.8,28.8,NoData,45.1,NoData,74.4,19.3,32.9,18.2,32.5,22.1,47.9,8.4
40193,75.9,28.9,29.9,NoData,50.4,20.5,81,23.7,31.1,28.6,27.4,26.9,43.6,15.2
40194,67.9,25.2,21.8,NoData,51.5,18.9,70.8,21.4,17.3,20.1,16.8,21.3,39.8,12.2
40195,55.2,21.6,14.5,NoData,51.4,18.9,64.1,29.5,NoData,NoData,21.4,21.6,19.9,17
40196,80.2,33,15.6,NoData,72.1,31.1,89,36.2,40,28.4,22.8,23.8,27.3,27.3
40197,44,12.4,8.2,NoData,29.9,5.3,51.5,11.2,21.1,14.3,14,13.5,24.4,14.8
40198,44.9,17.9,10.6,NoData,19.5,12.7,44.6,18.7,16.6,22,14.7,17.3,21.6,14.3
40199,49.1,15.5,21.7,NoData,23.9,4.8,46,11.8,17.5,13,16.8,11.1,24.9,9.5
40200,58.7,18.3,25.5,NoData,47.7,6.6,55,12.9,22.6,12,21.5,11.9,44,8.1
40201,59.1,16.6,20,NoData,48.7,9,46.3,16.5,14.5,11.5,17.9,11.4,35.2,11
40202,32.5,NoData,12,NoData,28,11.3,23.2,17.3,13,18.5,14.3,25.7,19.1,16.3
40203,48.8,NoData,19,NoData,21.3,20,31.7,21.1,20.7,26.9,14.5,24.9,22.4,15.4
40204,33.3,NoData,9.1,NoData,13.2,4.1,28.7,10.2,14.2,8.6,8.5,9.5,15,9.4
40205,66.3,15.1,19.7,NoData,49.1,6.4,58.2,12.9,27.6,13.1,22.2,11.3,32.2,9.5
40206,66.1,16.2,19.7,NoData,50.3,11.1,52.7,18,31.3,14.7,26.9,17.4,29.9,17.9
40207,72,17.5,15.8,NoData,63.5,20.7,93.3,29,27.9,19.8,28.1,19.9,33.9,17.4
40208,57.4,29.9,21.1,NoData,44.5,34.1,59.6,31,20.1,32.6,15.5,30.2,32.8,25.9
40209,35.6,49,8.8,NoData,22.4,71.9,27.9,59.6,6.6,74.8,7.4,80.6,12.2,60.1
40210,61.4,61.2,27.4,NoData,45.2,54.5,57.5,41.3,27.2,55.8,26.3,47.7,37.3,28.3
40211,85.1,22.7,18.5,NoData,47.5,14.1,54.2,21.3,23.6,16.8,23.1,17.5,45.3,14
40212,87.4,28.9,30,NoData,50.5,20.3,65.5,24.3,32.6,23.2,34.1,25.5,46.5,18.1
40213,56,19.4,15,NoData,19.6,10,44,13.6,14.5,12.1,12.5,13.5,18.8,10.4
40214,34.8,10.2,8.5,NoData,10.1,2.4,24.7,10,9.9,6.8,5.4,6.8,16.9,8.2
40215,37.7,8.6,7.7,NoData,19.6,1.9,34.6,8.9,12.5,6.2,9.1,6.6,21.4,7.9
40216,40.1,9.8,13.1,NoData,NoData,5.5,44.7,15,10.8,9.9,13.9,9.9,21.3,11.8
